coil,foam_material,foam_thickness,metal,is_augment
6,H800,1.58,MetalB,False
6,H800,2.39,MetalA,False
6,H800,3.18,MetalB,False
6,H870,2.39,MetalC,False
6,H870,3.18,MetalC,False
6,Poron,1.58,MetalA,False
6,Poron,2.39,MetalB,False
8,H800,2.39,MetalB,False
8,H870,1.58,MetalA,False
8,H870,2.39,MetalA,False
8,H870,3.18,MetalA,False
8,Poron,1.58,MetalC,False
8,Poron,3.18,MetalB,False
10,H800,3.18,MetalC,False
10,H870,1.58,MetalC,False
10,H870,2.39,MetalB,False
10,H870,3.18,MetalB,False
10,Poron,1.58,MetalB,False
10,Poron,2.39,MetalC,False
10,Poron,3.18,MetalA,False
10,H800,1.58,MetalA,True
6,H800,1.58,MetalC,True
6,H800,3.18,MetalA,True
6,H870,1.58,MetalB,True
6,Poron,3.18,MetalC,True
