coil,foam_material,foam_thickness,metal
C1,FoamA,T1,MetalA
C1,FoamB,T2,MetalC
C1,FoamC,Tfoam3,MetalB
C1,FoamA,T1,MetalB
C1,FoamB,T2,MetalA
C2,FoamA,T2,MetalB
C2,FoamB,Tfoam3,MetalA
C2,FoamC,T1,MetalA
C2,FoamA,T2,MetalC
C2,FoamB,T1,MetalB
C3,FoamA,Tfoam3,MetalC
C3,FoamB,T1,MetalB
C3,FoamC,T2,MetalB
C3,FoamA,T1,MetalA
C3,FoamB,T2,MetalA
C1,FoamA,T1,MetalA
C1,FoamB,T2,MetalA
C1,FoamC,T1,MetalC
C1,FoamA,T2,MetalB
C1,FoamB,Tfoam3,MetalB
C2,FoamA,T2,MetalB
C2,FoamB,T1,MetalB
C2,FoamC,T2,MetalA
C2,FoamA,Tfoam3,MetalA
C2,FoamB,T1,MetalC
