coil,foam_material,foam_thickness,metal,is_replicate
C1,FoamA,T3,MetalC,False
C1,FoamB,T2,MetalA,False
C1,FoamB,T2,MetalB,False
C1,FoamC,T1,MetalA,False
C1,FoamC,T3,MetalB,False
C2,FoamA,T1,MetalB,False
C2,FoamA,T3,MetalA,False
C2,FoamB,T1,MetalC,False
C2,FoamB,T3,MetalA,False
C2,FoamC,T2,MetalB,False
C2,FoamC,T2,MetalC,False
C3,FoamA,T1,MetalA,False
C3,FoamA,T2,MetalC,False
C3,FoamB,T2,MetalA,False
C3,FoamB,T3,MetalB,False
C3,FoamC,T1,MetalB,False
C3,FoamC,T3,MetalC,False
C4,FoamA,T2,MetalB,False
C4,FoamB,T1,MetalC,False
C4,FoamB,T3,MetalB,False
C4,FoamC,T2,MetalA,False
C4,FoamC,T3,MetalA,False
C1,FoamA,T3,MetalC,True
C4,FoamB,T1,MetalC,True
C1,FoamC,T1,MetalA,True
