coil,foam_material,foam_thickness,metal
C1,FoamA,T1,MetalA
C1,FoamB,T2,MetalC
C1,FoamC,T3,MetalB
C1,FoamA,T1,MetalB
C1,FoamB,T2,MetalA
C2,FoamA,T2,MetalB
C2,FoamB,T3,MetalA
C2,FoamC,T1,MetalA
C2,FoamA,T2,MetalC
C2,FoamB,T1,MetalB
C3,FoamA,T3,MetalC
C3,FoamB,T1,MetalB
C3,FoamC,T2,MetalB
C3,FoamA,T1,MetalA
C3,FoamB,T2,MetalA
C4,FoamA,T1,MetalA
C4,FoamB,T2,MetalA
C4,FoamC,T1,MetalC
C4,FoamA,T2,MetalB
C4,FoamB,T3,MetalB
C5,FoamA,T2,MetalB
C5,FoamB,T1,MetalB
C5,FoamC,T2,MetalA
C5,FoamA,T3,MetalA
C5,FoamB,T1,MetalC
