,coil[8]:foam_material[H870],coil[8]:foam_material[Poron],coil[10]:foam_material[H870],coil[10]:foam_material[Poron],coil[8]:metal[aluminum],coil[8]:metal[ss mesh],coil[10]:metal[aluminum],coil[10]:metal[ss mesh],foam_material[H870]:metal[aluminum],foam_material[H870]:metal[ss mesh],foam_material[Poron]:metal[aluminum],foam_material[Poron]:metal[ss mesh]
intercept,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coil[8],0.0,2.7755575615628914e-17,-8.326672684688674e-17,2.7755575615628914e-17,-1.160396457745977e-15,1.002160577144253e-15,-2.639717946162096e-15,-1.4885212489162193e-15,-0.3333333333333331,-0.16666666666666657,-0.16666666666666635,-0.3333333333333329
coil[10],-5.551115123125783e-17,-5.551115123125783e-17,-1.1102230246251565e-16,-2.7755575615628914e-17,1.143223571479124e-15,-9.297891278767985e-16,2.4800985557876485e-15,1.4069500391486648e-15,0.6666666666666666,0.3333333333333333,0.3333333333333332,0.6666666666666665
foam_material[H870],2.138752771010439e-16,1.3631701023798418e-16,2.542782066044071e-16,2.2081417100495113e-16,-5.412337245047637e-16,2.1510571102112403e-16,0.4999999999999982,-1.106753577673203e-15,-6.828979832065869e-17,-1.45167201622845e-16,7.68774033021863e-17,-1.2778647089400874e-17
foam_material[Poron],0.0,-8.326672684688674e-17,-4.85722573273506e-17,-1.6653345369377348e-16,4.579669976578771e-16,-2.3592239273284576e-16,1.672273430841642e-15,0.5000000000000011,1.6653345369377348e-16,2.220446049250313e-16,2.1510571102112408e-16,1.6653345369377348e-16
foam_thickness[2.39],-3.8163916471489756e-17,-9.71445146547012e-17,-1.0842021724855044e-16,1.9081958235744878e-17,7.28583859910259e-17,-6.071532165918825e-17,2.7755575615628914e-17,-4.336808689942018e-18,2.7755575615628914e-17,-1.3877787807814457e-17,6.245004513516506e-17,0.0
metal[aluminum],1.1102230246251565e-16,-5.551115123125783e-17,0.49999999999999994,1.3877787807814457e-16,-1.0844282950980442e-16,1.766470835394796e-16,-4.574081627697246e-16,-3.394331505636211e-16,-1.6653345369377348e-16,0.0,-8.326672684688674e-17,-1.6653345369377348e-16
metal[ss mesh],-3.3306690738754696e-16,5.551115123125783e-17,-5.551115123125783e-17,0.49999999999999994,1.3968427779779583e-16,-2.088868233501278e-16,4.633531633617613e-16,2.9721875076610607e-16,1.6653345369377348e-16,-1.1102230246251565e-16,1.8041124150158794e-16,1.1102230246251565e-16
foam_material[H870]:foam_thickness[2.39],2.8622937353617317e-16,-4.336808689942018e-17,-3.903127820947816e-17,7.719519468096792e-17,0.3333333333333334,0.6666666666666667,0.16666666666666663,0.33333333333333337,1.734723475976807e-16,0.0,9.540979117872439e-17,1.249000902703301e-16
foam_material[Poron]:foam_thickness[2.39],-8.500145032286355e-17,-4.336808689942018e-17,-2.42861286636753e-17,4.5102810375396984e-17,-0.6666666666666669,-0.3333333333333334,-0.3333333333333335,-0.16666666666666674,-5.551115123125783e-17,-1.1102230246251565e-16,1.2836953722228372e-16,8.326672684688674e-17
foam_thickness[2.39]:metal[aluminum],-0.33333333333333315,-0.6666666666666666,-0.16666666666666644,-0.3333333333333332,-2.3396154664432817e-17,2.8131991411839737e-16,-4.3077025693040067e-16,-2.3476031998470185e-16,1.1102230246251565e-16,0.0,-2.7755575615628914e-17,5.551115123125783e-17
foam_thickness[2.39]:metal[ss mesh],0.6666666666666667,0.3333333333333335,0.3333333333333333,0.16666666666666663,8.582977407918909e-17,-2.6122323863958703e-16,4.387030441461784e-16,2.4488233547664625e-16,8.326672684688674e-17,-4.163336342344337e-17,1.1102230246251565e-16,5.551115123125783e-17
foam_thickness[2.39]:coil[8],-3.570304863132938e-17,4.921735680320754e-18,-7.74776294285776e-17,-1.5886841542568268e-16,-1.0165479569224092e-15,9.835882108788498e-16,-2.3175905639050147e-15,-1.3921155894713879e-15,3.0311305033509086e-16,0.5000000000000002,-0.49999999999999983,3.5862420156634873e-16
foam_thickness[2.39]:coil[10],3.469446951953614e-18,9.71445146547012e-17,-3.5561831257524545e-17,2.949029909160572e-17,1.0061396160665481e-15,-9.280770596475918e-16,2.2343238370581275e-15,1.3643600138557588e-15,-3.3306690738754696e-16,-2.3592239273284576e-16,-1.3183898417423734e-16,-2.7755575615628914e-16
