,coil,foam_material,foam_thickness,metal
Taguchi L16,0.7117794486215538,0.7694235588972431,0.7493734335839599,0.7393483709273183
Taguchi L18,0.8571428571428571,0.8370927318295739,0.8771929824561403,0.8771929824561403
Taguchi L25,0.9573934837092731,0.949874686716792,0.9649122807017544,0.9624060150375939
D-opt 20,0.8947368421052632,0.9298245614035088,0.8897243107769424,0.9022556390977443
D-opt 20 +int,0.0,0.0,0.0,0.0
D-opt 16,0.7393483709273183,0.7293233082706767,0.7393483709273183,0.7443609022556391
D-opt 25,0.9674185463659147,0.9849624060150376,0.9774436090225563,0.9724310776942355
D-opt 25 ME +3rep,0.9699248120300752,0.9724310776942355,0.9573934837092731,0.9774436090225563
D-opt 22 +int,0.12781954887218044,0.12030075187969924,0.09774436090225563,0.12781954887218044
D-opt 25 +int +3rep,0.3533834586466165,0.37092731829573933,0.21553884711779447,0.37844611528822053
D-opt 28,0.9924812030075187,0.9899749373433584,0.9874686716791979,0.9949874686716792
D-opt 28 +int,0.7017543859649122,0.6791979949874687,0.38095238095238093,0.6967418546365914
D-opt 28 +int +3rep,0.6741854636591479,0.6616541353383458,0.37593984962406013,0.6466165413533834
D-opt 35,0.9974937343358395,1.0,1.0,0.9949874686716792
D-opt 35 +int,0.9122807017543859,0.9147869674185464,0.6917293233082706,0.899749373433584
D-opt 28 aug +int,0.6441102756892231,0.6466165413533834,0.3684210526315789,0.6942355889724311
